,new_name
348,leafy twigs of oriental arborvitae
349,cicada slough
350,root of antifebrile dichroa
351,all-grass of rippleseed plantain
352,motherwort fruit
353,"glorybower leaf, clerodendron leaf"
354,broussonetiae fructus
355,cortex hibisci
356,szechwan chiberry fruit
357,armand clematis stem
358,root of medicil cyathula
359,iridis tectori rhizoma
360,root of common monkshood
361,"chuanxiong rhizome, szechuan lovage root"
362,ningpo yam rhizome 
363,all-grass of common androgrphis
364,all - grass of stringy stonecrop
365,"ailanthus bark, tree of heaven bark"
366,hydnocarpi anthelminticae semen
367,areca catechu l.
368,garlic
369,stem of sargentgloryvine
370,gleditsiae fructus
371,root of ligulilobe sage
372,root pilose asiabell
373,achyranthis asperae herba
374,pith of common rush
375,all - grass of japanese st. johnswort
376,difengpi bark
377,fruit of belvedere
378,root - bark of chinese wolfberry
379,all - grass of humifuse euphorbia
380,root of garden burnet
381,stem of taiwan erycibe
382,chinese waxgourd peel
383,benincasae semen
384,cluster mallow fruit
385,round cardamon fruit
386,eucommia bark
387,eucommiae folium
388,clinopodium herb
389,zedoray rhizome
390,small centipeda herb
391,"cutch, black catechu"
392,all-grass of discolor cinquefoil
393,dioscoreae hypoglaucae rhizoma
394,all - grass of chinese brake
395,all-grass of tubercultae speranskia
396,ailanthi altissimae fructus
397,all-grass of common ducksmeat
398,common monkshood daughter root
399,rdostachys root
400,root of gansui
401,ligustici rhizoma et radix
402,flower bud of lobed kudzuvine
403,stem of leatherleaf mahonia
404,folium ilicis cornutae
405,pipewort flower
406,rhizome of heartleaf dryria
407,muskmelon base
408,phellodendri amurensis cortex
409,herbahypericiperforati
410,root of chinese angelica
411,pogostemon cablin (blanco) benth.
412,fruit of axillary choerospondias
413,twig of winged euonymus
414,all-grass of spanishneedles
415,stem of kadsura pepper
416,spore of japanese climbing fern
417,bark of oriental variegated coralbean
418,medicine termilia fruit
419,english walnut seed
420,common carpesium fruit
421,black bean
422,kadsurae coccineae radix et caulis
423,black sesame
424,red ginseng
425,hedysari radix
426,macacae calcalus gasteris
427,picrorhizae rhizoma
428,stem or leaf of fung waxplant
429,rhizome of gaint knotweed
430,semino-dermis arachidis 
431,physochlaie radix
432,pummelo peel
433,pod of japanese pagodatree
434,phellodendron bark
435,rhizome of airpotato yam
436,canton love-pea vine
437,cockscomb flower 
438,paederiae scandentis herba
439,suberect spatholobus stem
440,asiatic pennywort herb
441,seed of garden balsam
442,puncturevine caltrop fruit
443,odoriferous rosewood
444,gynostemmae pentaphylli herba
445,mustard seed
446,all - grass of japanese inula
447,tinosporae radix
448,flower of chinese globeflower
449,calendula officilis
450,calyx seu fructus physalis
451,peking euphorbia root
452,all-grass of fineleaf schizonepeta
453,schizonepetae spica
454,sedum aizoon l.
455,citri exocarpium rubrum
456,citri fructus retinervus
457,tangerine leaf
458,aal-grass of tamariskoid spikemoss
459,root of lightyellow sophora
460,all - grass of bunge corydalis
461,meliae cortex
462,meliae azedarach fructus
463,bitter apricot seed
464,all - grass of common heron's bill
465,wikstroemiae indicae rasix
466,root of common htreewingnut
467,thunder ball
468,glechomae herba
469,radde anemone rhizome
470,indigoplant leaf
471,flower of common trumpetcreeper
472,lysimachiae foenigraeci herba
473,gentiae radix et rhozima
474,solanum nigrum linn.
475,aauropi folium
476,all-grass chinese pyrola
477,fruit of beautiful sweetgum
478,apocyniveneti folium
479,stem of chinese starjasmine
480,mung bean
481,puff-ball
482,dutohmanspipe fruit
483,root and rhizome of manyleaf meadowrue
484,dahurian rhododendron leaf
485,shrub chastetree fruit
486,lunulatae herba
487,catclaw buttercup root
488,myrrh
489,actinidia chinensis planch
490,flower of pale butterflybush
491,dioscoreae septemlo bae rhizoma
492,all-grass of yerbadetajo
493,hempleaf negundo chastetree leaf
494,viticis canbifoliae fructus
495,momordicae semen
496,indian trumpetflower seed
497,flower of common bombax
498,"akebia, clematis stem"
499,common scouring rush herb
500,et radix patriniae rhizoma
501,fructus carotae
502,fourleaf ladybell root
503,celastri orbiculati fructus
504,schisandrae sphentherae fructus
505,yellow azalea flower
506,millettiae speciosae radix
507,cow-bezoar
508,glutinous rice root
509,fruit of glossy privet
510,ussuri fritillary bulb
511,pollen of longbract cattail
512,all-grass of shepherdspurse
513,root of philippine flemingia
514,caper euphorbia seed
515,rhizome of obscured homalome
516,flower of globeamaranth
517,pharbitis seed
518,root of grand hogfennel
519,root of tali madder
520,root of garden eggplant
521,root of largeleaf gentian
522,bark of largeleaf chinese ash
523,tural indigo
524,caulis sinomenii
525,green tangerine peel
526,celosiae semen
527,all - grass of mile swertia
528,chingma abutilon seed
529,all-grass of lilac pink
530,rhizome of bistort
531,ginseng
532,ginseng leaf
533,desertliving cistanche
534,hedge prinsepia nut
535,chinese lizardtail rhizome or herb
536,anisodus acutangulus c. y. wu et c .chen ex c. che
537,common burreed tuber
538,notoginseng flos
539,chinese taxillus herb
540,mulberry twig
541,flatstem milkvetch seed
542,appendiculate cremastra pseudobulb or common pleione pseudobulb
543,vietmese sophora root
